Product;Date;UNIT;Year;Month;Market_Name;Price
Sorghum;2006/04/30;109KG;2006;4;SEKONDI/TAKORADI;50
Sorghum;2006/04/30;109KG;2006;4;KOFORIDUA;NA
Sorghum;2006/04/30;109KG;2006;4;CAPE COAST;NA
Sorghum;2006/04/30;109KG;2006;4;MANKESSIM;NA
Sorghum;2006/04/30;109KG;2006;4;KUMASI;40
Sorghum;2006/04/30;109KG;2006;4;EJURA;NA
Sorghum;2006/04/30;109KG;2006;4;OBUASI;42
Sorghum;2006/04/30;109KG;2006;4;SUNYANI;32
Sorghum;2006/04/30;109KG;2006;4;TECHIMAN;44
Sorghum;2006/04/30;109KG;2006;4;HO;20.5
Sorghum;2006/04/30;109KG;2006;4;TAMALE;20.5
Sorghum;2006/04/30;109KG;2006;4;BOLGATANGA;25.5
Sorghum;2006/04/30;109KG;2006;4;WA;27.74
Cowpea;2006/04/30;109KG;2006;4;ACCRA;61.95
Cowpea;2006/04/30;109KG;2006;4;TEMA;60
Cowpea;2006/04/30;109KG;2006;4;SEKONDI/TAKORADI;53.75
Cowpea;2006/04/30;109KG;2006;4;KOFORIDUA;60
Cowpea;2006/04/30;109KG;2006;4;CAPE COAST;75.4
Cowpea;2006/04/30;109KG;2006;4;MANKESSIM;69.2
Cowpea;2006/04/30;109KG;2006;4;KUMASI;52.75
Cowpea;2006/04/30;109KG;2006;4;EJURA;NA
Cowpea;2006/04/30;109KG;2006;4;OBUASI;NA
Cowpea;2006/04/30;109KG;2006;4;SUNYANI;59
Cowpea;2006/04/30;109KG;2006;4;TECHIMAN;48.5
Cowpea;2006/04/30;109KG;2006;4;HO;54.77
Cowpea;2006/04/30;109KG;2006;4;TAMALE;37
Cowpea;2006/04/30;109KG;2006;4;BOLGATANGA;50.75
Cowpea;2006/04/30;109KG;2006;4;WA;52.38
Maize;2006/05/30;100KG;2006;5;ACCRA;26.58
Maize;2006/05/30;100KG;2006;5;TEMA;31.08
Maize;2006/05/30;100KG;2006;5;SEKONDI/TAKORADI;30.38
Maize;2006/05/30;100KG;2006;5;KOFORIDUA;29.6
Maize;2006/05/30;100KG;2006;5;CAPE COAST;36.7
Maize;2006/05/30;100KG;2006;5;MANKESSIM;37
Maize;2006/05/30;100KG;2006;5;KUMASI;22
Maize;2006/05/30;100KG;2006;5;EJURA;NA
Maize;2006/05/30;100KG;2006;5;OBUASI;31.5
Maize;2006/05/30;100KG;2006;5;SUNYANI;18.35
Maize;2006/05/30;100KG;2006;5;TECHIMAN;20.19
Maize;2006/05/30;100KG;2006;5;HO;28.43
Maize;2006/05/30;100KG;2006;5;TAMALE;18
Maize;2006/05/30;100KG;2006;5;BOLGATANGA;20.25
Maize;2006/05/30;100KG;2006;5;WA;17.85
Rice-local;2006/05/30;50KG;2006;5;ACCRA;27.17
Rice-local;2006/05/30;50KG;2006;5;TEMA;29
Rice-local;2006/05/30;50KG;2006;5;SEKONDI/TAKORADI;32.5
Rice-local;2006/05/30;50KG;2006;5;KOFORIDUA;NA
Rice-local;2006/05/30;50KG;2006;5;CAPE COAST;38.65
Rice-local;2006/05/30;50KG;2006;5;MANKESSIM;34.25
Rice-local;2006/05/30;50KG;2006;5;KUMASI;37.63
Rice-local;2006/05/30;50KG;2006;5;EJURA;NA
Rice-local;2006/05/30;50KG;2006;5;OBUASI;19.3
Rice-local;2006/05/30;50KG;2006;5;SUNYANI;25.5
Rice-local;2006/05/30;50KG;2006;5;TECHIMAN;19.75
Rice-local;2006/05/30;50KG;2006;5;HO;32
Rice-local;2006/05/30;50KG;2006;5;TAMALE;22
Rice-local;2006/05/30;50KG;2006;5;BOLGATANGA;35
Rice-local;2006/05/30;50KG;2006;5;WA;30.35
Millet;2006/05/30;93KG;2006;5;ACCRA;48.02
Millet;2006/05/30;93KG;2006;5;TEMA;58.75
Millet;2006/05/30;93KG;2006;5;SEKONDI/TAKORADI;53.75
Millet;2006/05/30;93KG;2006;5;KOFORIDUA;51.25
Millet;2006/05/30;93KG;2006;5;CAPE COAST;56.48
Millet;2006/05/30;93KG;2006;5;MANKESSIM;53.8
Millet;2006/05/30;93KG;2006;5;KUMASI;41.5
Millet;2006/05/30;93KG;2006;5;EJURA;NA
Millet;2006/05/30;93KG;2006;5;OBUASI;NA
Millet;2006/05/30;93KG;2006;5;SUNYANI;40.5
Millet;2006/05/30;93KG;2006;5;TECHIMAN;31
Millet;2006/05/30;93KG;2006;5;HO;52
Millet;2006/05/30;93KG;2006;5;TAMALE;32.25
Millet;2006/05/30;93KG;2006;5;BOLGATANGA;28
Millet;2006/05/30;93KG;2006;5;WA;28.6
Sorghum;2006/05/30;109KG;2006;5;ACCRA;44.75
Sorghum;2006/05/30;109KG;2006;5;TEMA;NA
Sorghum;2006/05/30;109KG;2006;5;SEKONDI/TAKORADI;51.25
Sorghum;2006/05/30;109KG;2006;5;KOFORIDUA;NA
Sorghum;2006/05/30;109KG;2006;5;CAPE COAST;NA
Sorghum;2006/05/30;109KG;2006;5;MANKESSIM;NA
Sorghum;2006/05/30;109KG;2006;5;KUMASI;40
Sorghum;2006/05/30;109KG;2006;5;EJURA;NA
Sorghum;2006/05/30;109KG;2006;5;OBUASI;NA
Sorghum;2006/05/30;109KG;2006;5;SUNYANI;42
Sorghum;2006/05/30;109KG;2006;5;TECHIMAN;33.5
Sorghum;2006/05/30;109KG;2006;5;HO;43
Sorghum;2006/05/30;109KG;2006;5;TAMALE;20
Sorghum;2006/05/30;109KG;2006;5;BOLGATANGA;23
Sorghum;2006/05/30;109KG;2006;5;WA;27.4
Cowpea;2006/05/30;109KG;2006;5;ACCRA;67.25
Cowpea;2006/05/30;109KG;2006;5;TEMA;70
Cowpea;2006/05/30;109KG;2006;5;SEKONDI/TAKORADI;75
Cowpea;2006/05/30;109KG;2006;5;KOFORIDUA;63.75
Cowpea;2006/05/30;109KG;2006;5;CAPE COAST;75.4
Cowpea;2006/05/30;109KG;2006;5;MANKESSIM;73.8
Cowpea;2006/05/30;109KG;2006;5;KUMASI;48.25
Cowpea;2006/05/30;109KG;2006;5;EJURA;NA
Cowpea;2006/05/30;109KG;2006;5;OBUASI;NA
Cowpea;2006/05/30;109KG;2006;5;SUNYANI;61.5
Cowpea;2006/05/30;109KG;2006;5;TECHIMAN;48
Cowpea;2006/05/30;109KG;2006;5;HO;57.95
Cowpea;2006/05/30;109KG;2006;5;TAMALE;34
Cowpea;2006/05/30;109KG;2006;5;BOLGATANGA;54.75
Cowpea;2006/05/30;109KG;2006;5;WA;53.52
Maize;2006/06/30;100KG;2006;6;ACCRA;29.73
Maize;2006/06/30;100KG;2006;6;TEMA;31.43
Maize;2006/06/30;100KG;2006;6;SEKONDI/TAKORADI;32.62
Maize;2006/06/30;100KG;2006;6;KOFORIDUA;29.47
Maize;2006/06/30;100KG;2006;6;CAPE COAST;40.35
Maize;2006/06/30;100KG;2006;6;MANKESSIM;40
Maize;2006/06/30;100KG;2006;6;KUMASI;26.7
Maize;2006/06/30;100KG;2006;6;EJURA;NA
Maize;2006/06/30;100KG;2006;6;OBUASI;40.5
Maize;2006/06/30;100KG;2006;6;SUNYANI;20.8
Maize;2006/06/30;100KG;2006;6;TECHIMAN;17.9
Maize;2006/06/30;100KG;2006;6;HO;27.7
Maize;2006/06/30;100KG;2006;6;TAMALE;17.33
Maize;2006/06/30;100KG;2006;6;BOLGATANGA;17.67
Maize;2006/06/30;100KG;2006;6;WA;19.65
Rice-local;2006/06/30;50KG;2006;6;ACCRA;NA
Rice-local;2006/06/30;50KG;2006;6;TEMA;NA
Rice-local;2006/06/30;50KG;2006;6;SEKONDI/TAKORADI;NA
Rice-local;2006/06/30;50KG;2006;6;KOFORIDUA;NA
Rice-local;2006/06/30;50KG;2006;6;CAPE COAST;NA
Rice-local;2006/06/30;50KG;2006;6;MANKESSIM;NA
Rice-local;2006/06/30;50KG;2006;6;KUMASI;NA
Rice-local;2006/06/30;50KG;2006;6;EJURA;NA
Rice-local;2006/06/30;50KG;2006;6;OBUASI;NA
Rice-local;2006/06/30;50KG;2006;6;SUNYANI;NA
Rice-local;2006/06/30;50KG;2006;6;TECHIMAN;NA
Rice-local;2006/06/30;50KG;2006;6;HO;NA
Rice-local;2006/06/30;50KG;2006;6;TAMALE;NA
Rice-local;2006/06/30;50KG;2006;6;BOLGATANGA;NA
Rice-local;2006/06/30;50KG;2006;6;WA;NA
Millet;2006/06/30;93KG;2006;6;ACCRA;52.5
Millet;2006/06/30;93KG;2006;6;TEMA;60
Millet;2006/06/30;93KG;2006;6;SEKONDI/TAKORADI;50
Millet;2006/06/30;93KG;2006;6;KOFORIDUA;50
Millet;2006/06/30;93KG;2006;6;CAPE COAST;56.5
Millet;2006/06/30;93KG;2006;6;MANKESSIM;55.5
Millet;2006/06/30;93KG;2006;6;KUMASI;41.67
Millet;2006/06/30;93KG;2006;6;EJURA;NA
Millet;2006/06/30;93KG;2006;6;OBUASI;NA
Millet;2006/06/30;93KG;2006;6;SUNYANI;52
Millet;2006/06/30;93KG;2006;6;TECHIMAN;33
Millet;2006/06/30;93KG;2006;6;HO;52
Millet;2006/06/30;93KG;2006;6;TAMALE;30.67
Millet;2006/06/30;93KG;2006;6;BOLGATANGA;26.67
Millet;2006/06/30;93KG;2006;6;WA;27.62
Sorghum;2006/06/30;109KG;2006;6;ACCRA;50
Sorghum;2006/06/30;109KG;2006;6;TEMA;NA
Sorghum;2006/06/30;109KG;2006;6;SEKONDI/TAKORADI;50
Sorghum;2006/06/30;109KG;2006;6;KOFORIDUA;57.5
Sorghum;2006/06/30;109KG;2006;6;CAPE COAST;NA
Sorghum;2006/06/30;109KG;2006;6;MANKESSIM;NA
Sorghum;2006/06/30;109KG;2006;6;KUMASI;40
Sorghum;2006/06/30;109KG;2006;6;EJURA;NA
Sorghum;2006/06/30;109KG;2006;6;OBUASI;NA
Sorghum;2006/06/30;109KG;2006;6;SUNYANI;52
Sorghum;2006/06/30;109KG;2006;6;TECHIMAN;32.67
Sorghum;2006/06/30;109KG;2006;6;HO;44
Sorghum;2006/06/30;109KG;2006;6;TAMALE;20
Sorghum;2006/06/30;109KG;2006;6;BOLGATANGA;21
Sorghum;2006/06/30;109KG;2006;6;WA;27.9
Cowpea;2006/06/30;109KG;2006;6;ACCRA;75
Cowpea;2006/06/30;109KG;2006;6;TEMA;71.67
Cowpea;2006/06/30;109KG;2006;6;SEKONDI/TAKORADI;70.33
Cowpea;2006/06/30;109KG;2006;6;KOFORIDUA;61.67
Cowpea;2006/06/30;109KG;2006;6;CAPE COAST;74.17
Cowpea;2006/06/30;109KG;2006;6;MANKESSIM;79.65
Cowpea;2006/06/30;109KG;2006;6;KUMASI;51.33
Cowpea;2006/06/30;109KG;2006;6;EJURA;NA
